PKBD,16Pokémon,Pokémon Brilliant Diamond,"A remake of the classic Pokémon Diamond game, set in the Sinnoh region."
PKSP,16Pokémon,Pokémon Shining Pearl,"A remake of the classic Pokémon Pearl game, set in the Sinnoh region."
PMDX,16Pokémon,Pokémon Mystery Dungeon: Rescue Team DX,"A remake of the classic Pokémon Mystery Dungeon game,  where players can explore dungeons and rescue Pokémon."
PKSN,16Pokémon,Pokémon Snap,A photography game where players take pictures of Pokémon in their natural habitats.
PKTX,16Pokémon,Pokkén Tournament DX,A fighting game where players can battle as their favorite Pokémon in 3D arenas.
SPL2,17Splatoon,Splatoon 2,A team-based third-person shooter where players compete in turf wars and other modes.
SPL3,17Splatoon,Splatoon 3,A team-based third-person shooter where players compete in turf wars and other modes.
KBFL,18Kirby,Kirby and the Forgotten Land,A 3D platformer where Kirby explores a mysterious world to save his friends.
KBSA,18Kirby,Kirby Star Allies,A 2D platformer where Kirby can recruit allies to help him on his adventure.
KBDX,18Kirby,Kirby's Return to Dream Land Deluxe,A 2D platformer where Kirby and friends embark on a quest to save the Dream Land from an evil sorcerer.
FE3H,19Fire Emblem,Fire Emblem: Three Houses,A tactical RPG where players lead a group of students in a military academy to save their kingdom.
FEEN,19Fire Emblem,Fire Emblem Engage,A tactical RPG where players lead a group of heroes to save their kingdom from an ancient evil.
BNT1,20Bayonetta,Bayonetta 1,An action-adventure game where players control Bayonetta to battle angels and demons.
BNT2,20Bayonetta,Bayonetta 2,"An action-adventure game where players battle angels and demons, featuring fast-paced combat and stylish moves."
PMN4,21Pikmin,Pikmin 4,A real-time strategy game where players control Pikmin to solve puzzles and defeat enemies.
PMN3,21Pikmin,Pikmin 3 Deluxe,A real-time strategy game where players control Pikmin to solve puzzles and defeat enemies.
XBC2,22enoblade,Xenoblade Chronicles 2,An open-world RPG where players explore the world of Alrest and battle enemies.
XBC3,22Xenoblade,Xenoblade Chronicles 3,An open-world RPG where players explore the world of Aionios and battle enemies.
XBCX,22Xenoblade,Xenoblade Chronicles: Definitive Edition,An open-world RPG where players explore the world of Mira and battle enemies.
DBFZ,23Dragon Ball,Dragon Ball FighterZ,"A fighting game based on the Dragon Ball series, featuring fast-paced battles and iconic characters."
DBX2,23Dragon Ball,Dragon Ball Xenoverse 2,An action RPG where players can create their own character and explore the Dragon Ball universe.
HMFF,24Indie,Human Fall Flat,A physics-based puzzle platformer where players control a customizable human character to solve puzzles and navigate through various levels.
STRV,24Indie,Stardew Valley,"A farming simulation game where players can grow crops, raise animals, and build relationships."
MTDR,25Metroid,Metroid Dread,A 2D action-adventure game where Samus Aran must escape from a mysterious planet while being pursued by an E.M.M.I.
RERV,26Resident Evil,Resident Evil: Revelations,"A survival horror game set in the Resident Evil universe, featuring a gripping story and intense gameplay."
MHRS,27Monster Hunter,Monster Hunter Rise,An action RPG where players hunt monsters in a fantasy world.
ACNH,28Animal Crossing,Animal Crossing: New Horizons,A relaxing life-simulation game where you move to a deserted island and build your own paradise.
MINE,29Miscellaneous,Minecraft,A sandbox game where players can build and explore their own worlds.
